"","price","amount"
"1","10301.86000000","0.01061500"
"2","10301.77000000","0.01214300"
"3","10301.70000000","0.00500000"
"4","10301.62000000","0.00967700"
"5","10301.60000000","0.02251400"
"6","10301.59000000","0.00002400"
"7","10301.46000000","0.02231600"
"8","10301.44000000","0.01218800"
"9","10301.35000000","0.01666500"
"10","10301.29000000","0.01218800"
"11","10301.16000000","0.24100000"
"12","10301.04000000","0.01214300"
"13","10301.01000000","0.04379100"
"14","10300.95000000","0.01109100"
"15","10300.94000000","0.01109200"
"16","10300.65000000","0.01214300"
"17","10300.60000000","0.25000000"
"18","10300.47000000","0.05608500"
"19","10300.46000000","0.10146500"
"20","10300.40000000","0.01214300"
"21","10299.75000000","0.01000000"
"22","10299.74000000","5.43154300"
"23","10299.72000000","2.00000000"
"24","10299.53000000","0.30375000"
"25","10299.52000000","1.14659200"
"26","10299.50000000","1.00000000"
"27","10299.45000000","0.21700000"
"28","10299.36000000","1.50000000"
"29","10299.33000000","0.38796900"
"30","10299.21000000","0.10000000"
"31","10299.01000000","0.29129000"
"32","10299.00000000","0.58091100"
"33","10298.81000000","0.29129500"
"34","10298.77000000","0.20000000"
"35","10298.59000000","0.30000000"
"36","10298.46000000","0.01137700"
"37","10298.29000000","0.38800700"
"38","10298.10000000","0.77000000"
"39","10297.92000000","0.03744800"
"40","10297.86000000","0.05000000"
"41","10297.80000000","0.01000000"
"42","10297.66000000","2.32266100"
"43","10297.64000000","0.00275400"
"44","10297.58000000","0.01000000"
"45","10297.56000000","0.01252800"
"46","10297.28000000","0.38787800"
"47","10297.26000000","0.21700000"
"48","10297.19000000","0.30900000"
"49","10297.15000000","0.24406900"
"50","10297.12000000","0.01257500"
"51","10297.06000000","0.20216600"
"52","10297.00000000","0.01000000"
"53","10296.77000000","0.20000000"
"54","10296.72000000","0.45583500"
"55","10296.61000000","4.84999900"
"56","10296.54000000","0.01257500"
"57","10296.45000000","0.14700000"
"58","10296.36000000","0.38790700"
"59","10296.31000000","0.02523500"
"60","10296.23000000","0.10000000"
"61","10296.04000000","0.10108300"
"62","10296.00000000","2.31600000"
"63","10295.72000000","0.29125000"
"64","10295.62000000","0.02913900"
"65","10295.53000000","0.21700000"
"66","10295.35000000","0.20545800"
"67","10295.20000000","0.01265400"
"68","10295.01000000","0.03250000"
"69","10294.83000000","0.38796900"
"70","10294.77000000","0.15150000"
"71","10294.69000000","0.00003000"
"72","10294.65000000","0.02500000"
"73","10294.64000000","0.00288000"
"74","10294.55000000","0.40730500"
"75","10294.54000000","0.15300000"
"76","10294.44000000","1.61285100"
"77","10294.42000000","0.20259400"
"78","10294.26000000","0.19428300"
"79","10293.96000000","0.05062900"
"80","10293.77000000","0.15000000"
"81","10293.73000000","0.05053300"
"82","10293.58000000","0.21700000"
"83","10293.49000000","0.15188600"
"84","10293.02000000","0.20216400"
"85","10292.99000000","0.01273000"
"86","10292.58000000","0.87000000"
"87","10292.49000000","0.29100000"
"88","10292.46000000","0.00999000"
"89","10292.15000000","0.00300000"
"90","10292.10000000","0.01276200"
"91","10292.05000000","0.00201400"
"92","10292.01000000","0.00201500"
"93","10291.78000000","0.15150000"
"94","10291.61000000","2.29000000"
"95","10291.60000000","0.01274000"
"96","10291.41000000","0.01274600"
"97","10291.00000000","0.15236000"
"98","10290.81000000","0.00484000"
"99","10290.55000000","0.00525300"
"100","10290.52000000","0.00126600"
"101","10290.45000000","0.55691600"
"102","10290.41000000","0.21700000"
"103","10290.35000000","0.00167100"
"104","10290.04000000","0.00194100"
"105","10290.00000000","1.90408900"
"106","10289.95000000","0.15150000"
"107","10289.82000000","0.28500000"
"108","10289.53000000","0.10000000"
"109","10289.47000000","0.01144900"
"110","10289.27000000","0.02000000"
"111","10289.17000000","0.00369500"
"112","10289.08000000","0.17210000"
"113","10288.51000000","0.00129900"
"114","10288.47000000","0.03314800"
"115","10288.46000000","0.26700000"
"116","10288.17000000","0.01239900"
"117","10288.02000000","0.00145800"
"118","10288.01000000","0.00780000"
"119","10288.00000000","4.08512100"
"120","10287.66000000","0.11678000"
"121","10287.59000000","0.00845000"
"122","10287.56000000","0.01138200"
"123","10287.48000000","0.00119200"
"124","10287.43000000","0.31200000"
"125","10287.42000000","0.03358100"
"126","10287.40000000","0.01138200"
"127","10287.35000000","2.08400000"
"128","10287.25000000","0.00156700"
"129","10287.19000000","0.00116700"
"130","10287.13000000","0.09586800"
"131","10287.00000000","0.00306000"
"132","10286.88000000","0.25000000"
"133","10286.59000000","13.20000000"
"134","10286.36000000","0.11900000"
"135","10286.31000000","0.00107000"
"136","10286.29000000","0.08800000"
"137","10286.26000000","0.00113100"
"138","10286.00000000","0.07858600"
"139","10285.95000000","0.01942500"
"140","10285.77000000","0.00333300"
"141","10285.71000000","0.00605800"
"142","10285.70000000","0.00350500"
"143","10285.39000000","0.00288800"
"144","10285.20000000","1.49328200"
"145","10285.03000000","0.00110000"
"146","10285.00000000","0.01100000"
"147","10284.91000000","0.01147800"
"148","10284.90000000","0.00126600"
"149","10284.84000000","0.00342100"
"150","10284.65000000","0.00145900"
"151","10284.30000000","0.00152000"
"152","10283.52000000","0.00101600"
"153","10283.13000000","0.00136500"
"154","10282.92000000","0.01147800"
"155","10282.65000000","0.24312800"
"156","10282.64000000","0.19715600"
"157","10282.50000000","0.00120300"
"158","10282.35000000","0.00200000"
"159","10282.04000000","0.00117100"
"160","10282.00000000","0.00407000"
"161","10281.70000000","0.02427200"
"162","10281.57000000","0.00377000"
"163","10281.22000000","0.00194300"
"164","10281.17000000","0.01000000"
"165","10281.00000000","2.01756200"
"166","10280.91000000","0.00193800"
"167","10280.58000000","0.02330300"
"168","10280.55000000","0.40800000"
"169","10280.42000000","0.00325500"
"170","10280.39000000","0.00125100"
"171","10280.00000000","0.44333700"
"172","10279.78000000","0.00349300"
"173","10279.53000000","0.01810900"
"174","10279.32000000","0.00492300"
"175","10279.28000000","0.00126700"
"176","10279.10000000","0.00203500"
"177","10278.99000000","0.00101800"
"178","10278.91000000","0.00167300"
"179","10278.77000000","0.55640000"
"180","10278.70000000","0.01954700"
"181","10278.57000000","0.60000000"
"182","10278.48000000","0.00150000"
"183","10278.18000000","0.00119300"
"184","10278.00000000","0.00282800"
"185","10277.88000000","0.00437000"
"186","10277.31000000","0.00120700"
"187","10277.09000000","0.01000000"
"188","10277.00000000","1.77110100"
"189","10276.92000000","0.00110000"
"190","10276.30000000","0.12248800"
"191","10276.22000000","3.73543900"
