"","price","amount"
"1","10301.87000000","2.07215800"
"2","10301.95000000","0.46478200"
"3","10302.18000000","0.01208200"
"4","10302.21000000","0.09302300"
"5","10302.26000000","0.00000200"
"6","10302.44000000","0.00408700"
"7","10302.72000000","0.00147800"
"8","10302.82000000","0.01203800"
"9","10302.99000000","1.32721700"
"10","10303.00000000","0.00109600"
"11","10303.65000000","0.49713100"
"12","10303.69000000","0.29158500"
"13","10303.70000000","0.26078000"
"14","10303.72000000","0.02000000"
"15","10303.94000000","0.00757900"
"16","10303.95000000","0.72000600"
"17","10303.96000000","0.80000000"
"18","10303.98000000","0.01318500"
"19","10304.11000000","0.74501100"
"20","10304.15000000","0.80000000"
"21","10304.18000000","0.64892300"
"22","10304.35000000","0.15223100"
"23","10304.36000000","0.06000000"
"24","10304.41000000","8.00000000"
"25","10304.42000000","2.00000000"
"26","10304.60000000","0.12625500"
"27","10304.70000000","0.80000000"
"28","10304.77000000","1.06158100"
"29","10304.88000000","0.01200300"
"30","10305.08000000","0.06700000"
"31","10305.15000000","0.13720000"
"32","10305.22000000","1.17600000"
"33","10305.23000000","0.50000000"
"34","10305.49000000","0.06731900"
"35","10305.57000000","0.00835100"
"36","10305.70000000","0.09707100"
"37","10305.77000000","0.01000000"
"38","10305.84000000","1.46900000"
"39","10305.85000000","0.21700000"
"40","10305.96000000","0.30900000"
"41","10306.03000000","2.62876100"
"42","10306.39000000","0.38797800"
"43","10306.82000000","0.05693500"
"44","10307.00000000","2.58000000"
"45","10307.01000000","0.02458300"
"46","10307.09000000","0.01185900"
"47","10307.26000000","0.01188900"
"48","10307.30000000","0.25000000"
"49","10307.36000000","0.01000000"
"50","10307.59000000","0.38796900"
"51","10307.70000000","0.80000000"
"52","10308.00000000","0.00474000"
"53","10308.01000000","0.30950400"
"54","10308.05000000","0.28800000"
"55","10308.09000000","0.80000000"
"56","10308.11000000","0.20259400"
"57","10308.12000000","0.01189700"
"58","10308.35000000","0.05062900"
"59","10308.44000000","0.21700000"
"60","10308.47000000","0.14850000"
"61","10308.59000000","0.38792800"
"62","10308.68000000","0.45583500"
"63","10308.78000000","0.01174500"
"64","10308.79000000","0.15000000"
"65","10308.95000000","1.00000000"
"66","10309.00000000","0.05081800"
"67","10309.09000000","0.10130500"
"68","10309.20000000","0.05054000"
"69","10309.22000000","0.01174500"
"70","10309.27000000","0.80000000"
"71","10309.43000000","0.01167200"
"72","10309.44000000","0.20216600"
"73","10309.45000000","5.61767400"
"74","10309.54000000","0.00101600"
"75","10309.84000000","0.80000000"
"76","10309.98000000","0.02909800"
"77","10309.99000000","0.38787800"
"78","10310.00000000","0.56121900"
"79","10310.02000000","0.80000000"
"80","10310.08000000","0.01167200"
"81","10310.22000000","0.28800000"
"82","10310.23000000","0.01163500"
"83","10310.24000000","0.10000000"
"84","10310.35000000","0.80000000"
"85","10310.40000000","0.15450000"
"86","10310.53000000","0.50000000"
"87","10310.56000000","0.14400000"
"88","10310.57000000","4.40000000"
"89","10310.59000000","1.00000000"
"90","10310.64000000","0.20216000"
"91","10310.74000000","0.01163500"
"92","10310.90000000","0.21700000"
"93","10310.96000000","0.15000000"
"94","10310.99000000","0.01163500"
"95","10311.08000000","0.00675000"
"96","10311.16000000","0.30600000"
"97","10311.34000000","0.20000000"
"98","10311.44000000","0.00636500"
"99","10311.46000000","0.30000000"
"100","10311.48000000","0.87000000"
"101","10311.49000000","0.03250000"
"102","10311.53000000","0.15000100"
"103","10311.63000000","0.30253200"
"104","10311.73000000","0.01146400"
"105","10311.83000000","0.01153200"
"106","10311.90000000","0.38796900"
"107","10312.22000000","0.01151800"
"108","10312.30000000","0.01151800"
"109","10312.35000000","1.50000000"
"110","10312.39000000","0.01000000"
"111","10312.45000000","0.01151800"
"112","10312.46000000","0.10106500"
"113","10312.49000000","0.29400000"
"114","10312.52000000","0.01000000"
"115","10312.66000000","0.15450000"
"116","10312.71000000","0.01149000"
"117","10312.80000000","0.01021400"
"118","10312.84000000","0.08259200"
"119","10312.85000000","0.21700000"
"120","10312.93000000","0.36194500"
"121","10312.95000000","0.15300000"
"122","10313.00000000","0.00297000"
"123","10313.06000000","0.01143300"
"124","10313.17000000","2.17300000"
"125","10313.29000000","0.14700000"
"126","10313.32000000","0.01000000"
"127","10313.44000000","0.01143300"
"128","10313.47000000","0.20000000"
"129","10313.84000000","0.30000000"
"130","10314.06000000","0.29099300"
"131","10314.31000000","0.01132000"
"132","10314.77000000","0.14850000"
"133","10314.80000000","0.21700000"
"134","10315.00000000","0.26136000"
"135","10315.02000000","0.01132000"
"136","10315.13000000","0.16132000"
"137","10315.31000000","0.01132000"
"138","10315.38000000","0.01126400"
"139","10315.48000000","0.44990000"
"140","10315.58000000","0.29099300"
"141","10315.74000000","0.15450000"
"142","10315.84000000","0.01126400"
"143","10315.89000000","0.00309000"
"144","10315.95000000","0.28500000"
"145","10316.00000000","0.00106600"
"146","10316.09000000","0.00107100"
"147","10316.11000000","0.01118900"
"148","10316.25000000","0.19386900"
"149","10316.45000000","0.01118900"
"150","10316.69000000","0.01118900"
"151","10316.74000000","0.21700000"
"152","10317.09000000","0.01118900"
"153","10317.32000000","0.14850000"
"154","10317.36000000","0.09439400"
"155","10317.64000000","0.00105900"
"156","10317.84000000","2.00900000"
"157","10318.01000000","0.00297000"
"158","10318.61000000","0.02702300"
"159","10318.69000000","13.85122800"
"160","10319.00000000","0.00938400"
"161","10319.49000000","0.00405500"
"162","10319.60000000","0.01109100"
"163","10319.94000000","0.00201400"
"164","10320.00000000","1.13389500"
"165","10320.11000000","0.01109100"
"166","10320.22000000","2.00000000"
"167","10320.23000000","0.27083000"
"168","10320.35000000","0.05000000"
"169","10320.47000000","0.01109100"
"170","10320.54000000","1.80253600"
"171","10320.73000000","0.01107000"
"172","10320.83000000","0.01106300"
"173","10320.92000000","0.01099400"
"174","10321.32000000","0.01098000"
"175","10321.61000000","0.02000000"
"176","10322.00000000","2.00000000"
"177","10322.22000000","0.01096700"
"178","10322.36000000","0.24219300"
"179","10322.37000000","0.00126500"
"180","10322.45000000","0.01095300"
"181","10322.71000000","0.01099200"
"182","10322.80000000","13.20000000"
"183","10322.94000000","0.00201500"
"184","10322.97000000","0.00134300"
"185","10323.03000000","0.03849000"
"186","10323.29000000","0.00448500"
"187","10324.22000000","0.01094500"
"188","10324.60000000","2.00000000"
"189","10324.61000000","0.01000000"
"190","10324.71000000","0.01089000"
"191","10324.76000000","0.01587400"
"192","10324.79000000","0.00300000"
"193","10324.81000000","0.02413700"
"194","10324.82000000","0.04844000"
"195","10325.00000000","0.00104300"
"196","10325.20000000","0.00341800"
"197","10325.25000000","0.01089000"
"198","10325.51000000","0.02000000"
"199","10325.76000000","0.11645100"
"200","10325.81000000","0.01000000"
