"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 02, 2014","9,760.30","9,923.60","9,952.00","9,758.40","304.38M","-1.58%"
"Jan 03, 2014","9,798.00","9,765.00","9,830.10","9,722.50","209.22M","0.39%"
"Jan 06, 2014","9,888.50","9,768.40","9,928.70","9,766.40","188.62M","0.92%"
"Jan 07, 2014","10,178.70","9,912.50","10,188.50","9,881.90","514.20M","2.93%"
"Jan 08, 2014","10,253.60","10,190.40","10,282.00","10,117.20","479.86M","0.74%"
"Jan 09, 2014","10,234.20","10,255.70","10,383.00","10,186.30","389.29M","-0.19%"
"Jan 10, 2014","10,290.60","10,293.60","10,361.80","10,248.80","283.44M","0.55%"
"Jan 13, 2014","10,365.50","10,336.30","10,396.00","10,298.30","347.56M","0.73%"
"Jan 14, 2014","10,382.00","10,274.10","10,382.00","10,223.10","343.75M","0.16%"
"Jan 15, 2014","10,525.00","10,380.80","10,529.80","10,368.40","381.46M","1.38%"
"Jan 16, 2014","10,455.50","10,532.20","10,552.70","10,441.40","331.15M","-0.66%"
"Jan 17, 2014","10,465.70","10,453.70","10,501.80","10,393.50","288.50M","0.10%"
"Jan 20, 2014","10,454.10","10,440.00","10,485.90","10,403.50","183.41M","-0.11%"
"Jan 21, 2014","10,357.40","10,469.80","10,510.50","10,344.20","239.28M","-0.92%"
"Jan 22, 2014","10,279.70","10,399.50","10,440.50","10,241.50","295.36M","-0.75%"
"Jan 23, 2014","10,241.20","10,254.10","10,350.90","10,215.80","327.84M","-0.37%"
"Jan 24, 2014","9,868.90","10,214.70","10,240.80","9,835.50","531.98M","-3.64%"
"Jan 27, 2014","9,758.40","9,877.00","9,915.90","9,725.70","380.96M","-1.12%"
"Jan 28, 2014","9,879.10","9,838.70","9,922.80","9,802.50","298.26M","1.24%"
"Jan 29, 2014","9,896.20","9,986.10","10,054.10","9,716.50","368.66M","0.17%"
"Jan 30, 2014","9,964.50","9,890.70","9,995.50","9,775.70","311.98M","0.69%"
"Jan 31, 2014","9,920.20","9,974.40","9,993.20","9,761.80","343.62M","-0.44%"
"Feb 03, 2014","9,725.40","9,911.50","9,980.10","9,712.50","280.16M","-1.96%"
"Feb 04, 2014","9,754.30","9,684.70","9,814.20","9,654.80","306.71M","0.30%"
"Feb 05, 2014","9,775.00","9,752.40","9,837.50","9,700.40","267.97M","0.21%"
"Feb 06, 2014","9,964.60","9,840.70","9,983.70","9,807.20","393.67M","1.94%"
"Feb 07, 2014","10,072.40","9,996.00","10,086.70","9,910.70","328.60M","1.08%"
"Feb 10, 2014","9,982.70","10,114.20","10,117.80","9,943.80","232.43M","-0.89%"
"Feb 11, 2014","10,091.20","10,044.80","10,091.20","9,985.00","313.94M","1.09%"
"Feb 12, 2014","10,080.80","10,126.10","10,151.30","10,041.30","371.61M","-0.10%"
"Feb 13, 2014","10,098.90","10,046.20","10,098.90","9,950.00","321.60M","0.18%"
"Feb 14, 2014","10,132.80","10,111.00","10,184.70","10,057.80","240.16M","0.34%"
"Feb 17, 2014","10,118.60","10,155.10","10,181.90","10,084.60","167.51M","-0.14%"
"Feb 18, 2014","10,042.70","10,109.50","10,114.50","9,988.80","286.23M","-0.75%"
"Feb 19, 2014","10,053.80","10,021.30","10,102.70","9,945.90","295.42M","0.11%"
"Feb 20, 2014","10,062.20","9,945.50","10,062.20","9,918.50","284.53M","0.08%"
"Feb 21, 2014","10,071.00","10,104.10","10,108.80","10,009.20","227.19M","0.09%"
"Feb 24, 2014","10,193.10","10,060.20","10,193.10","10,035.30","238.49M","1.21%"
"Feb 25, 2014","10,242.50","10,176.10","10,242.70","10,150.90","239.98M","0.48%"
"Feb 26, 2014","10,224.30","10,243.90","10,269.00","10,191.70","215.46M","-0.18%"
"Feb 27, 2014","10,164.10","10,213.30","10,228.10","10,063.90","253.33M","-0.59%"
"Feb 28, 2014","10,114.20","10,172.40","10,174.20","9,996.10","439.19M","-0.49%"
"Mar 03, 2014","9,878.70","9,951.60","9,991.60","9,855.10","391.42M","-2.33%"
"Mar 04, 2014","10,126.70","9,991.10","10,126.70","9,955.20","330.19M","2.51%"
"Mar 05, 2014","10,215.20","10,104.90","10,249.60","10,089.10","348.12M","0.87%"
"Mar 06, 2014","10,304.00","10,251.00","10,358.90","10,247.50","301.32M","0.87%"
"Mar 07, 2014","10,164.20","10,327.50","10,345.30","10,147.60","260.26M","-1.36%"
"Mar 10, 2014","10,194.60","10,151.40","10,292.00","10,119.10","329.69M","0.30%"
"Mar 11, 2014","10,163.30","10,234.90","10,245.00","10,137.90","212.30M","-0.31%"
"Mar 12, 2014","10,070.40","10,128.60","10,169.00","9,984.20","263.71M","-0.91%"
"Mar 13, 2014","9,950.30","10,112.30","10,117.80","9,950.30","238.53M","-1.19%"
"Mar 14, 2014","9,812.00","9,881.40","9,944.30","9,703.10","469.89M","-1.39%"
"Mar 17, 2014","9,975.00","9,822.90","9,992.50","9,811.20","267.21M","1.66%"
"Mar 18, 2014","10,051.40","9,975.10","10,109.30","9,902.80","268.47M","0.77%"
"Mar 19, 2014","10,093.30","10,085.50","10,135.50","10,022.80","186.68M","0.42%"
"Mar 20, 2014","10,079.90","10,008.00","10,085.50","9,970.90","253.70M","-0.13%"
"Mar 21, 2014","10,053.10","10,094.80","10,157.50","10,042.40","442.91M","-0.27%"
"Mar 24, 2014","9,913.10","10,061.70","10,090.00","9,868.70","282.61M","-1.39%"
"Mar 25, 2014","9,990.50","9,939.80","10,035.20","9,885.60","267.19M","0.78%"
"Mar 26, 2014","10,140.80","10,029.00","10,180.40","9,994.10","279.65M","1.50%"
"Mar 27, 2014","10,199.00","10,118.20","10,204.40","10,087.10","255.55M","0.57%"
"Mar 28, 2014","10,328.90","10,239.80","10,341.90","10,208.80","263.01M","1.27%"
"Mar 31, 2014","10,340.50","10,349.60","10,420.60","10,325.90","339.24M","0.11%"
"Apr 01, 2014","10,463.10","10,368.10","10,487.60","10,359.50","310.89M","1.19%"
"Apr 02, 2014","10,435.80","10,477.80","10,503.70","10,391.30","237.13M","-0.26%"
"Apr 03, 2014","10,584.10","10,462.20","10,644.40","10,451.50","337.37M","1.42%"
